row ID,Score,Phenotype,Potency,Aromatic Atoms Count,Bond Polarizabilities,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds Count,Topological Polar Surface Area,Molecular Weight,XLogP,Formal Charge,SP3 Character,Eccentric Connectivity Index,Amine
1608,22,Inhibitor,2.8184,12,18.571312,263.1825925,1,4,5,72.72,305.0818711,2.593,0,0.108108108,344,1
1610,0,Inactive,,6,19.244519,205.0138951,2,4,9,72.72,211.1208434,1.16,0,0.15625,204,1
1615,0,Inactive,,6,11.365277,135.5454878,1,2,4,46.25,137.084064,0.896,0,0.095238095,102,1
1619,0,Inactive,,6,27.719761,262.7711482,2,2,11,41.49,249.172879,2.844,0,0.170731707,305,1
1620,63,Inhibitor,7.0795,12,27.990175,303.4257106,2,3,11,52.49,299.188529,3.668,0,0.14893617,491,1
1624,87,Inhibitor,1.4125,12,33.050589,344.1714478,3,2,13,58.56,341.1990937,3.235,0,0.153846154,612,1
1651,0,Inactive,,6,11.365277,144.3357145,2,3,5,66.48,153.0789786,0.132,0,0.090909091,113,1
1657,10,Inhibitor,28.1838,5,11.158863,99.49728635,2,2,3,54.7,111.0796473,-0.748,0,0.117647059,64,1
1661,43,Inhibitor,8.9125,12,30.988347,317.3381052,1,1,5,39.72,365.1193994,3.831,0,0.152173913,541,1
1671,0,Inactive,,6,12.323277,176.5756938,3,4,7,103.78,197.0688078,-2.03,0,0.08,170,1
1672,0,Inactive,,0,14.012484,160.1211854,5,4,9,136.95,176.0909402,-3.313,0,0.125,139,1
1684,42,Inhibitor,10,12,21.597726,293.0864913,1,1,5,12.03,341.0504826,5.656,0,0.128205128,328,1
1691,10,Inhibitor,22.3872,10,22.620898,253.4746554,4,2,6,80.57,320.015304,2.495,0,0.060606061,260,1
1693,86,Inhibitor,3.5481,22,52.728315,587.6333718,6,6,22,139.48,603.3196028,7.103,0,0.146067416,1085,1
1699,0,Inactive,,5,32.802554,288.4687103,3,2,14,108.88,314.1412616,1.282,0,0.162790698,458,1
1700,0,Inactive,,6,11.365277,144.3357145,1,3,5,66.48,153.0789786,0.651,0,0.090909091,113,1
1707,84,Inhibitor,7.0795,12,41.347003,456.113278,6,1,16,111.01,479.2056356,4.868,0,0.125,929,1
1708,10,Inhibitor,35.4813,0,23.617347,185.0961324,1,1,5,12.03,167.1673997,2.657,0,0.333333333,96,1
1716,0,Inactive,,6,45.357831,462.6491337,7,1,18,90.93,455.2307878,5.767,0,0.166666667,676,1
1729,0,Inactive,,12,54.03228,467.8933944,2,1,12,52.19,480.2988078,4.349,0,0.226666667,931,1
1736,0,Inactive,,6,14.871691,170.4219258,2,4,7,72.72,183.0895433,0.277,0,0.115384615,153,1
1741,0,Inactive,,6,22.257726,259.2329504,3,3,7,58.28,375.9785874,2.9,0,0.194444444,301,1
1744,0,Inactive,,0,16.343277,143.7880483,3,2,7,63.32,196.9954999,-2.108,0,0.2,74,1
1747,0,Inactive,,6,28.175347,363.6202598,8,5,9,158.26,407.1151064,-2.041,0,0.102040816,644,1
1752,0,Inactive,,0,19.244519,184.5762448,6,6,12,113.18,195.1106726,-3.573,0,0.233333333,140,1
1765,0,Inactive,,0,18.882519,177.8046165,3,2,5,63.32,171.1259288,1.391,0,0.275862069,108,1
1782,0,Inactive,,6,14.82007,193.0622688,3,3,7,83.55,306.9705412,-0.717,0,0.083333333,170,1
1819,42,Inhibitor,10,12,23.787312,269.8987267,3,1,2,36.86,313.0981898,3.515,0,0.105263158,342,1
1831,0,Inactive,,0,19.66807,149.8790856,6,4,8,130.66,183.0296591,-4.416,0,0.142857143,96,1
1832,0,Inactive,,0,26.227312,201.7670395,6,4,11,130.66,225.0766092,-3.342,0,0.2,188,1
1833,0,Inactive,,0,21.854484,167.1750702,6,4,9,130.66,197.0453091,-4.058,0,0.166666667,124,1
1834,0,Inactive,,0,12.414863,135.9211314,5,3,7,86.63,147.0531578,-1.151,0,0.157894737,72,1
1835,0,Inactive,,0,17.481656,132.583101,6,4,7,130.66,169.014009,-4.774,0,0.111111111,72,1
1836,0,Inactive,,0,26.227312,201.7670395,6,4,11,130.66,225.0766092,-3.342,0,0.2,188,1
1837,0,Inactive,,0,30.620519,217.7033256,7,4,8,119.91,252.0875083,-2.217,0,0.212121212,227,1
1838,0,Inactive,,6,22.409691,205.460247,4,3,8,93.36,249.0321576,0.267,0,0.107142857,183,1
1839,0,Inactive,,0,8.908449,127.4153735,6,4,7,120.85,149.0324223,-4.471,0,0.117647059,70,1
1840,0,Inactive,,0,13.281277,158.156642,5,3,5,100.62,173.0688078,-3.286,0,0.217391304,109,1
1841,0,Inactive,,5,13.102449,151.7119612,3,3,5,131.32,189.0385703,-4.386,0,0.1,141,1
1843,0,Inactive,,0,11.370449,90.23466562,3,2,4,82.53,109.0197495,-2.554,0,0.153846154,31,1
1844,0,Inactive,,0,13.468449,99.02489232,4,2,4,88.77,125.0146641,-1.678,0,0.142857143,38,1
1845,0,Inactive,,0,8.908449,118.6251468,5,3,6,100.62,133.0375077,-3.707,0,0.125,63,1
1846,0,Inactive,,0,12.328449,122.4746449,5,3,6,119.83,153.0095787,-5.235,0,0.125,63,1
1847,0,Inactive,,0,18.974105,207.4081372,5,3,7,86.63,213.100108,-0.213,0,0.2,142,1
1850,0,Inactive,,0,13.643277,125.9166627,3,2,2,49.33,129.0789786,0.169,0,0.25,69,1
1852,0,Inactive,,0,19.397656,141.3733277,7,4,8,139.89,185.0089236,-5.185,0,0.105263158,96,1
1853,0,Inactive,,6,19.354484,212.9322444,5,3,8,109,265.0175565,-0.265,0,0.107142857,194,1
1854,0,Inactive,,5,9.071242,131.9249742,3,3,4,109.32,158.0327567,-4.015,0,0.058823529,100,1
1856,0,Inactive,,6,17.189656,200.1540467,3,3,6,118.18,324.9559537,-1.931,0,0.086956522,181,1
1857,0,Inactive,,0,11.094863,140.8606574,5,3,6,100.62,159.0531578,-3.457,0,0.2,100,1
1858,0,Inactive,,6,13.281277,191.2352198,5,3,7,100.62,209.0688078,-1.646,0,0.076923077,181,1
1859,0,Inactive,,0,10.136863,103.6811521,3,2,5,63.32,103.0633285,-0.668,0,0.1875,47,1
1861,0,Inactive,,6,26.924554,265.2621505,4,3,11,84.58,266.1630426,0.461,0,0.170731707,374,1
1862,0,Inactive,,6,26.924554,265.2621505,4,3,11,84.58,266.1630426,0.461,0,0.170731707,374,1
1865,0,Inactive,,6,13.836484,191.5022928,3,2,7,63.32,213.0556563,1.334,0,0.115384615,168,1
1878,0,Inactive,,6,14.509691,193.8716785,3,4,8,103.78,211.0844579,-1.92,0,0.107142857,183,1
1880,10,Inhibitor,17.7828,6,38.003382,398.5926562,6,1,16,117,418.1740012,3.998,0,0.160714286,565,1
1881,0,Inactive,,6,29.52814,337.9144756,5,1,12,107.77,360.1321364,3.728,0,0.130434783,403,1
1884,10,Inhibitor,35.4813,0,39.788659,345.8249369,3,3,19,66.48,299.2824294,6.018,0,0.275862069,550,1
1885,0,Inactive,,6,23.617347,239.6058643,3,4,11,72.72,239.1521435,1.44,0,0.184210526,238,1
1890,0,Inactive,,0,15.602898,168.6269433,6,4,9,127.72,174.1116757,-3.585,0,0.153846154,139,1
1891,0,Inactive,,0,15.765691,194.5676982,6,4,11,156.87,219.0967539,-2.552,0,0.142857143,220,1
1898,0,Inactive,,6,10.136863,159.2797092,3,4,6,103.78,183.0531578,-2.587,0,0.045454545,123,1
1899,0,Inactive,,0,12.323277,135.6366627,3,2,6,63.32,129.0789786,0.05,0,0.15,74,1
1900,0,Inactive,,0,10.228449,123.5646727,5,3,4,86.63,145.0375077,-1.058,0,0.176470588,90,1
1908,0,Inactive,,6,13.281277,196.1747457,5,3,5,100.62,221.0688078,-1.865,0,0.111111111,200,1
1914,0,Activator,3.5481,6,11.65007,174.2063082,3,2,6,63.32,199.0400062,-0.757,0,0.086956522,157,1
